City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
422,minas de marcona,-15.2119,-75.1103,12.100000000000023,85,19,3.55,PE,1717125341
423,nizhneangarsk,55.7933,109.5803,10.439999999999998,76,100,1.34,RU,1717125342
424,katsuren-haebaru,26.3329,127.874,28.379999999999995,94,100,6.17,JP,1717125343
425,saynshand,44.8824,110.1163,17.620000000000005,31,0,2.27,MN,1717125345
426,road town,18.4269,-64.6208,27.640000000000043,79,100,7.75,VG,1717125346
427,marka,1.7159,44.7717,25.82000000000005,87,40,6.41,SO,1717125055
428,acapulco de juarez,16.8494,-99.9089,29.920000000000016,66,0,2.57,MX,1717125352
429,frontera,18.5433,-92.6453,29.74000000000001,72,2,5.81,MX,1717125353
430,la foa,-21.7108,165.8276,24.939999999999998,43,9,3.94,NC,1717125355
431,humaita,-7.5165,-63.0311,22.53000000000003,79,4,0.84,BR,1717125356
432,fleurance,43.8494,0.663,12.550000000000011,99,7,3.35,FR,1717125357
433,constitucion,-35.3332,-72.4116,11.620000000000005,91,100,2.13,CL,1717125365
434,mariinsk,56.2139,87.7472,8.53000000000003,61,100,1.19,RU,1717125366
435,kamina,-8.7351,24.998,17.379999999999995,66,96,0.77,CD,1717125367
436,lethem,3.3833,-59.8,24.180000000000007,94,100,2.1,GY,1717125368
437,bayanaul,50.793,75.7012,5.730000000000018,71,95,2.63,KZ,1717125369
438,plettenberg bay,-34.0527,23.3716,12.340000000000032,85,34,3.67,ZA,1717125377
439,ocean pointe,21.3107,-158.0364,27.960000000000036,58,40,8.23,US,1717125378
440,conceicao da barra,-18.5933,-39.7322,22.350000000000023,75,15,4.34,BR,1717125379
441,waingapu,-9.6567,120.2641,30.57000000000005,66,40,4.77,ID,1717125381
442,harper,4.3782,-7.7108,26.180000000000007,87,99,3.79,LR,1717125389
443,kyaukse,21.6056,96.1351,31.99000000000001,66,40,4.12,MM,1717125391
444,fiambala,-27.6723,-67.6187,12.330000000000041,27,100,0.53,AR,1717125392
445,island harbour,18.256,-63.0102,28.970000000000027,81,100,7.9,AI,1717125393
446,prince george,53.9166,-122.753,12.689999999999998,46,100,5.14,CA,1717125402
447,nakamura,32.9833,132.9333,18.49000000000001,99,100,0.76,JP,1717125403
448,hami,42.8339,93.506,27.03000000000003,10,66,2.74,CN,1717125404
449,floro,61.5996,5.0328,14.04000000000002,88,100,2.06,NO,1717125405
450,pundong,-7.9522,110.3486,28.910000000000025,73,92,5.16,ID,1717125407
451,smithers,54.7806,-127.1722,11.510000000000048,51,56,3.21,CA,1717124853
452,cooper's town,26.8714,-77.5113,27.310000000000002,61,37,4.32,BS,1717125409
453,dagomys,43.6697,39.6686,16.74000000000001,86,84,2.02,RU,1717125410
454,nueva gerona,21.8867,-82.8056,29.670000000000016,63,0,1.73,CU,1717125411
455,inari,68.906,27.0288,18.110000000000014,69,71,2.12,FI,1717125414
456,luza,60.6308,47.2512,13.960000000000036,75,36,1.64,RU,1717125415
457,champerico,14.2934,-91.9121,29.480000000000018,73,100,1.52,GT,1717125416
458,freetown,8.4635,-13.2289,23.850000000000023,87,100,2.03,SL,1717125418
459,ytyk-kyuyel',62.3612,133.5604,27.140000000000043,27,72,4.55,RU,1717125419
460,la gi,10.6599,107.7721,30.180000000000007,70,100,3.18,VN,1717125426
461,dornakal,17.4448,80.1491,36.19,44,19,3.22,IN,1717125427
462,naracoorte,-36.9579,140.7383,15.060000000000002,50,4,8.14,AU,1717125429
463,chilmari,25.5561,89.671,29.870000000000005,82,98,5.05,BD,1717125430
464,ierapetra,35.0119,25.7423,20.04000000000002,79,21,1.92,GR,1717125431
465,holualoa,19.6198,-155.9483,25.420000000000016,86,100,5.66,US,1717125439
466,camano,48.174,-122.5282,15.04000000000002,72,9,4.92,US,1717125440
467,madalena,38.5364,-28.5266,18.710000000000036,78,20,5.68,PT,1717125441
468,yangor,-0.5354,166.9105,28.80000000000001,68,2,4.25,NR,1717125442
469,ginir,7.1395,40.7108,13.230000000000018,87,63,1.24,ET,1717125443
470,al 'alamayn,30.8301,28.955,20.55000000000001,46,0,4.33,EG,1717125455
471,mogocha,53.7342,119.7652,24.180000000000007,19,2,1.53,RU,1717125457
472,kyshtovka,56.555,76.6271,5.75,44,50,3.13,RU,1717125458
473,bikenibeu village,1.3673,173.1241,30.980000000000018,70,20,4.63,KI,1717125459
474,namsos,64.4662,11.4957,12.03000000000003,94,40,0.0,NO,1717125460
475,chikmagalur,13.3223,75.774,23.5,79,97,2.06,IN,1717125461
476,casper,42.8666,-106.3131,11.03000000000003,54,0,5.66,US,1717125384
477,ushtobe,45.2526,77.9828,23.160000000000025,26,0,3.08,KZ,1717125470
478,balabac,7.9836,117.0487,30.960000000000036,69,100,6.19,PH,1717125471
479,rzhaksa,52.1338,42.0264,16.950000000000045,77,3,2.69,RU,1717125472
480,severo-yeniseyskiy,60.3755,93.0302,7.57000000000005,43,38,2.24,RU,1717125474
481,green river,41.5286,-109.4663,15.550000000000011,31,96,1.34,US,1717125481
482,homer,59.6425,-151.5494,11.939999999999998,54,100,0.0,US,1717125482
483,altenholz,54.4,10.1333,14.480000000000018,94,100,4.12,DE,1717125483
484,hauterive,49.1957,-68.2581,6.82000000000005,70,75,2.06,CA,1717125485
485,utica,43.1009,-75.2327,12.090000000000032,77,4,0.45,US,1717125486
